ID,Label
0,Finance
1,Environment
2,Environment
3,Finance
4,Environment
5,Fashion
6,Politics
7,Environment
8,Fashion
9,Education
10,Health
11,Fashion
12,Technology
13,Fashion
14,Finance
15,Education
16,Food
17,Politics
18,Environment
19,Health
20,Politics
21,Environment
22,Environment
23,Travel
24,Health
25,Fashion
26,Politics
27,Finance
28,Finance
29,Environment
30,Travel
31,Education
32,Politics
33,Finance
34,Health
35,Finance
36,Fashion
37,Finance
38,Environment
39,Politics
40,Travel
41,Finance
42,Travel
43,Environment
44,Travel
45,Health
46,Travel
47,Health
48,Environment
49,Environment
50,Food
51,Education
52,Travel
53,Fashion
54,Fashion
55,Health
56,Finance
57,Technology
58,Sports
59,Sports
60,Education
61,Health
62,Education
63,Travel
64,Fashion
65,Food
66,Fashion
67,Health
68,Sports
69,Health
70,Education
71,Health
72,Technology
73,Health
74,Health
75,Finance
76,Food
77,Politics
78,Health
79,Sports
80,Fashion
81,Politics
82,Education
83,Finance
84,Health
85,Sports
86,Health
87,Science
88,Finance
89,Environment
90,Finance
91,Technology
92,Health
93,Fashion
94,Health
95,Technology
96,Finance
97,Food
98,Science
99,Environment
100,Sports
101,Health
102,Environment
103,Finance
104,Environment
105,Entertainment
106,Education
107,Sports
108,Education
109,Food
110,Environment
111,Fashion
112,Environment
113,Finance
114,Fashion
115,Politics
116,Finance
117,Environment
118,Health
119,Health
120,Environment
121,Health
122,Politics
123,Sports
124,Fashion
125,Health
126,Environment
127,Education
128,Politics
129,Education
130,Environment
131,Health
132,Health
133,Health
134,Entertainment
135,Health
136,Finance
137,Health
138,Travel
139,Finance
140,Health
141,Fashion
142,Finance
143,Fashion
144,Finance
145,Environment
146,Technology
147,Finance
148,Politics
149,Food
150,Fashion
151,Finance
152,Fashion
153,Fashion
154,Politics
155,Environment
156,Travel
157,Fashion
158,Environment
159,Fashion
160,Fashion
161,Education
162,Travel
163,Education
164,Environment
165,Environment
166,Education
167,Technology
168,Technology
169,Environment
170,Fashion
171,Finance
172,Food
173,Health
174,Health
175,Fashion
176,Health
177,Environment
178,Politics
179,Health
180,Health
181,Food
182,Fashion
183,Health
184,Health
185,Fashion
186,Education
187,Fashion
188,Finance
189,Education
190,Fashion
191,Technology
192,Environment
193,Health
194,Environment
195,Health
196,Health
197,Finance
198,Environment
199,Fashion
200,Environment
201,Technology
202,Politics
203,Fashion
204,Sports
205,Fashion
206,Finance
207,Health
208,Travel
209,Environment
210,Politics
211,Politics
212,Sports
213,Travel
214,Fashion
215,Science
216,Politics
217,Health
218,Education
219,Fashion
220,Education
221,Environment
222,Food
223,Politics
224,Education
225,Technology
226,Politics
227,Health
228,Fashion
229,Technology
230,Finance
231,Health
232,Travel
233,Environment
234,Health
235,Environment
236,Politics
237,Health
238,Sports
239,Fashion
240,Fashion
241,Finance
242,Technology
243,Health
244,Fashion
245,Food
246,Health
247,Environment
248,Health
249,Health
250,Finance
251,Health
252,Entertainment
253,Health
254,Education
255,Finance
256,Politics
257,Finance
258,Finance
259,Entertainment
260,Environment
261,Politics
262,Finance
263,Environment
264,Finance
265,Education
266,Politics
267,Fashion
268,Health
269,Health
270,Travel
271,Finance
272,Fashion
273,Sports
274,Fashion
275,Education
276,Health
277,Politics
278,Technology
279,Politics
280,Education
281,Education
282,Finance
283,Politics
284,Finance
285,Sports
286,Health
287,Fashion
288,Education
289,Travel
290,Fashion
291,Finance
292,Technology
293,Health
294,Travel
295,Environment
296,Travel
297,Politics
298,Environment
299,Education
300,Politics
301,Fashion
302,Education
303,Finance
304,Environment
305,Politics
306,Finance
307,Politics
308,Finance
309,Health
310,Fashion
311,Health
312,Travel
313,Health
314,Education
315,Politics
316,Travel
317,Politics
318,Health
319,Health
320,Environment
321,Environment
322,Travel
323,Sports
324,Education
325,Finance
326,Health
327,Environment
328,Fashion
329,Health
330,Health
331,Politics
332,Environment
333,Fashion
334,Food
335,Politics
336,Fashion
337,Health
338,Fashion
339,Fashion
340,Travel
341,Politics
342,Science
343,Travel
344,Finance
345,Health
346,Fashion
347,Education
348,Education
349,Travel
350,Technology
351,Sports
352,Politics
353,Health
354,Finance
355,Sports
356,Education
357,Sports
358,Environment
359,Technology
360,Entertainment
